Year,K,H
1998,31893,44489
1999,31119,45327
2000,31356,45246
2001,32404,43879
2002,31394,43272
2003,30801,44057
2004,31828,44522
2005,30644,43991
2006,31655,45073
2007,32189,44977
2008,32884,43972
2009,33591,43524
2010,34306,42554
2011,34488,42267
2012,36409,42042
2013,36710,42092
